##NAME: KMOS_Detector_chip3_noise_prob_dist.txt
##DATE: 01-03-14
##TYPE: KMOS detector chip 3 noise properties: 300s dark exposure
##AUTHOR: Simon Zieleniewski
##VERSION: 1.0
##EXTRA: 10x KMOS dark frames (300 s exposure time)
#Total variance, no.of pixels, Variance probability distribution
4.59540e+01,2.85591e+02,9.90694e-01
4.60539e+01,2.80116e+02,9.90716e-01
4.61538e+01,2.89607e+02,9.90761e-01
4.62537e+01,2.83001e+02,9.90784e-01
4.63536e+01,2.62522e+02,9.90828e-01
4.64535e+01,2.65027e+02,9.90849e-01
4.65534e+01,2.87505e+02,9.90893e-01
4.66533e+01,2.93473e+02,9.90916e-01
4.67532e+01,2.84982e+02,9.90962e-01
4.68531e+01,2.79674e+02,9.90985e-01
4.69530e+01,2.77176e+02,9.91029e-01
4.70529e+01,2.66751e+02,9.91051e-01
4.71528e+01,2.49268e+02,9.91093e-01
4.72527e+01,2.43633e+02,9.91113e-01
4.73526e+01,2.48628e+02,9.91152e-01
4.74525e+01,2.58868e+02,9.91172e-01
4.75524e+01,2.73853e+02,9.91214e-01
4.76523e+01,2.74468e+02,9.91236e-01
4.77522e+01,2.61981e+02,9.91279e-01
4.78521e+01,2.56781e+02,9.91300e-01
4.79520e+01,2.58279e+02,9.91341e-01
4.80519e+01,2.52000e+02,9.91361e-01
4.81518e+01,2.38514e+02,9.91401e-01
4.82517e+01,2.28901e+02,9.91419e-01
4.83516e+01,2.22907e+02,9.91456e-01
4.84515e+01,2.25917e+02,9.91473e-01
4.85514e+01,2.37405e+02,9.91510e-01
4.86513e+01,2.35056e+02,9.91529e-01
4.87512e+01,2.19572e+02,9.91566e-01
4.88511e+01,2.13787e+02,9.91583e-01
4.89510e+01,2.17283e+02,9.91617e-01
4.90509e+01,2.21288e+02,9.91635e-01
4.91508e+01,2.25784e+02,9.91670e-01
4.92507e+01,2.27493e+02,9.91688e-01
4.93506e+01,2.26494e+02,9.91724e-01
4.94505e+01,2.28270e+02,9.91743e-01
4.95504e+01,2.32766e+02,9.91779e-01
4.96503e+01,2.30980e+02,9.91798e-01
4.97502e+01,2.22988e+02,9.91834e-01
4.98501e+01,2.21503e+02,9.91852e-01
4.99499e+01,2.26497e+02,9.91885e-01
5.00498e+01,2.23517e+02,9.91903e-01
5.01497e+01,2.12528e+02,9.91939e-01
5.02496e+01,2.11965e+02,9.91956e-01
5.03495e+01,2.21955e+02,9.91990e-01
5.04494e+01,2.24528e+02,9.92008e-01
5.05493e+01,2.19533e+02,9.92043e-01
5.06492e+01,2.15030e+02,9.92061e-01
5.07491e+01,2.11034e+02,9.92095e-01
5.08490e+01,2.09736e+02,9.92112e-01
5.09489e+01,2.11234e+02,9.92145e-01
5.10488e+01,2.07115e+02,9.92162e-01
5.11487e+01,1.97125e+02,9.92194e-01
5.12486e+01,1.94189e+02,9.92210e-01
5.13485e+01,1.98685e+02,9.92241e-01
5.14484e+01,1.93248e+02,9.92257e-01
5.15483e+01,1.77264e+02,9.92287e-01
5.16482e+01,1.77202e+02,9.92301e-01
5.17481e+01,1.94185e+02,9.92330e-01
5.18480e+01,2.02279e+02,9.92346e-01
5.19479e+01,2.00781e+02,9.92378e-01
5.20478e+01,1.99761e+02,9.92394e-01
5.21477e+01,1.99261e+02,9.92426e-01
5.22476e+01,2.03765e+02,9.92442e-01
5.23475e+01,2.13755e+02,9.92475e-01
5.24474e+01,2.06901e+02,9.92492e-01
5.25473e+01,1.81426e+02,9.92524e-01
5.26472e+01,1.67764e+02,9.92538e-01
5.27471e+01,1.67264e+02,9.92564e-01
5.28470e+01,1.69823e+02,9.92578e-01
5.29469e+01,1.75817e+02,9.92605e-01
5.30468e+01,1.80405e+02,9.92619e-01
5.31467e+01,1.83402e+02,9.92648e-01
5.32466e+01,1.82668e+02,9.92663e-01
5.33465e+01,1.77673e+02,9.92692e-01
5.34464e+01,1.72678e+02,9.92706e-01
5.35463e+01,1.67683e+02,9.92733e-01
5.36462e+01,1.69856e+02,9.92747e-01
5.37461e+01,1.80345e+02,9.92774e-01
5.38460e+01,1.77251e+02,9.92788e-01
5.39459e+01,1.58270e+02,9.92816e-01
5.40458e+01,1.45708e+02,9.92828e-01
5.41457e+01,1.40713e+02,9.92851e-01
5.42456e+01,1.46673e+02,9.92863e-01
5.43455e+01,1.65654e+02,9.92887e-01
5.44454e+01,1.73955e+02,9.92900e-01
5.45453e+01,1.69459e+02,9.92928e-01
5.46452e+01,1.70167e+02,9.92941e-01
5.47451e+01,1.77160e+02,9.92969e-01
5.48450e+01,1.80550e+02,9.92983e-01
5.49449e+01,1.79551e+02,9.93012e-01
